Price;Broker;HouseStatus;Address;Bed;Bath;Spsqft;SizeAcre,,,,,,,
From$333,380;Built by Allen Edwin Homes;For Sale;Integrity 1530 Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;3bed;1bath;1,526sqft1,526 square feet;Ready to build,,
$239,999;Brokered by Community Choice Realty Inc;For Sale;19176 Meadowridge DrLivonia,MI 48152;2bed;2bath;1,410sqft1,410 square feet;,,,
From$486,835;Built by Allen Edwin Homes;For Sale;Traditions 2330 V8.0b Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;3bed;2.5bath;2,330sqft2,330 square feet;Ready to build,,
From$384,285;Built by Allen Edwin Homes;For Sale;Integrity 2280 Plan,Meadows at McDonald Farms CommunityGrand Blanc,MI 48439;3bed;2.5bath;2,276sqft2,276 square feet;Ready to build,,
$525,000;Brokered by Treasure Homes,Inc;For Sale;19911-19915 Stratford RdDetroit,MI 48221;6bed;3.5bath;3,447sqft3,447 square feet;5,663sqft lot5,663 square foot lot
$195,000;Brokered by RE MAX 1st Realty;For Sale;5565 Riverview DrAu Train,MI 49806;3bed;1bath;992sqft992 square feet;0.47acre lot0.47 acre lot,,,,,
$65,900;Brokered by RE MAX Team 2000;Foreclosure;28251 Waltz RdHuron Township,MI 48164;4bed;2bath;3,178sqft3,178 square feet;0.8acre lot0.8 acre lot,,,
$360,000;Brokered by PREMIERE REALTY GROUP LLC;For Sale;23263 Oakleigh AveWoodhaven,MI 48183;4bed;2.5bath;2,317sqft2,317 square feet;8,712sqft lot8,712 square foot lot,
$249,900;Brokered by Five Star Real Estate;For Sale;3307 N 4 Mile RdTraverse City,MI 49686;3bed;1bath;1,100sqft1,100 square feet;0.53acre lot0.53 acre lot,,,
$2,500,000;Brokered by @properties Detroit;For Sale;150 W Boston BlvdDetroit,MI 48202;7bed;4.5+bath;11,103sqft11,103 square feet;2.16acre lot2.16 acre lot,,
$327,000;Built by Eastbrook Homes Inc.;For Sale;1197 Stagecoach DrByron Center,MI 49315;3bed;2.5bath;1,524sqft1,524 square feet;,,,
$169,900;Brokered by Keller Williams Realty Lansing-East;For Sale;7404 S Chandler RdSaint Johns,MI 48879;3bed;2bath;1,588sqft1,588 square feet;2.74acre lot2.74 acre lot,,,
$399,900;Brokered by Keller Williams Grand Rapids East;For Sale;4126 N 168th AveHolland,MI 49424;3bed;2bath;2,126sqft2,126 square feet;2.56acre lot2.56 acre lot,,,
$49,950;Brokered by Gold Pine Real Estate;For Sale;8600 N Cornwell AveHarrison,MI 48625;2bed;1bath;912sqft912 square feet;0.4acre lot0.4 acre lot,,,,,
$62,000;Brokered by Big Lake Real Estate;For Sale;14460 N Sunken Lake RdSeney,MI 49883;Studio;384sqft384 square feet;20acre lot20 acre lot;,,,,,
$195,000;Brokered by Signature Sotheby's International Realty;Pending;731 Virginia Park StDetroit,MI 48202;4bed;3.5bath;3,160sqft3,160 square feet;0.24acre lot0.24 acre lot,,,
$849,900;Brokered by Coldwell Banker Schmidt - Petoskey;For Sale;195 E Main St Unit 5Harbor Springs,MI 49740;2bed;2bath;1,652sqft1,652 square feet;,,,
$1,999,999;Brokered by Coastline Realty Group;For Sale;1720 Dimmers RdReading,MI 49274;4bed;2.5bath;3,700sqft3,700 square feet;146.58acre lot146.58 acre lot,,
$325,000;Brokered by REMERICA HOMETOWN III;For Sale;42127 Cherrylawn CtCanton,MI 48187;3bed;1.5bath;1,639sqft1,639 square feet;8,712sqft lot8,712 square foot lot,
$109,900;Brokered by Quest Realty Llc;For Sale;20875 Ridgemont RdHarper Woods,MI 48225;2bed;1bath;767sqft767 square feet;8,276sqft lot8,276 square foot lot,,,
$124,900;Brokered by Keller Williams Lakeside;For Sale;21465 Blackmar AveWarren,MI 48091;2bed;1bath;909sqft909 square feet;3,920sqft lot3,920 square foot lot,,,
$121,900;Brokered by RIVER OAKS REALTY COMPANY;For Sale;511 Lincoln StLincoln Park,MI 48146;2bed;1bath;792sqft792 square feet;4,356sqft lot4,356 square foot lot,,,
$108,500;Brokered by U.P. Riverland Realty;For Sale;1900 Pisoni StIron River,MI 49935;2bed;1.5bath;1,110sqft1,110 square feet;1.49acre lot1.49 acre lot,,,
$549,000;Brokered by Keller Williams Grand Rapids North;For Sale;Fremont,MI 49412;9bed;9.5+bath;6,929sqft6,929 square feet;0.38acre lot0.38 acre lot,,,
$219,000;Brokered by Realty Executives Home Towne;For Sale;1730 Connecticut AveMarysville,MI 48040;3bed;1.5bath;1,084sqft1,084 square feet;0.25acre lot0.25 acre lot,,,
$12,500;Brokered by RE/MAX Platinum - Grand Blanc;For Sale;V/L Kathie DrMills Township,MI 48756;0.5acre lot0.5 acre lot;;;,,,,,
$175,000;Brokered by Berkshire Hathaway HomeServices The Loft Warehouse;Contingent;21 Longfellow StDetroit,MI 48202;6bed;3.5bath;3,962sqft3,962 square feet;6,970sqft lot6,970 square foot lot,
$130,000;Brokered by Michigan Whitetail Properties;For Sale;0 Vl W Olson RdSanford,MI 48657;30.3acre lot30.3 acre lot;;;,,,,,
$425,000;Brokered by Dwelling Realty - KW Northern Michigan;For Sale;6918 Lakeshore RdManistee,MI 49660;3bed;0.5bath;850sqft850 square feet;1.5acre lot1.5 acre lot,,,,,
$397,500;Brokered by Preview Properties.Com;For Sale;856 S Freer RdChelsea,MI 48118;3bed;2bath;2,184sqft2,184 square feet;5.37acre lot5.37 acre lot,,,
$189,000;Brokered by Big Lake Real Estate;For Sale;21475 E Sigan Camp RdGrand Marais,MI 49839;3bed;1bath;868sqft868 square feet;40acre lot40 acre lot,,,,,
$339,900;Built by Allen Edwin Homes;For Sale;352 N Tannenbaum TrlCedar Springs,MI 49319;4bed;2.5bath;1,830sqft1,830 square feet;,,,
$429,900;Brokered by Real Estate One Grosse Pointe;For Sale;689 Birch LnGrosse Pointe Woods,MI 48236;3bed;2.5bath;2,318sqft2,318 square feet;0.28acre lot0.28 acre lot,,,
$385,000;Brokered by Modern Realty;For Sale;512 Crescent DrMidland,MI 48640;4bed;2bath;2,185sqft2,185 square feet;0.33acre lot0.33 acre lot,,,
$369,000;Brokered by Real Estate One Rochester;Coming Soon;425 Hill StRochester,MI 48307;3bed;2bath;927sqft927 square feet;6,970sqft lot6,970 square foot lot,,,
$35,000;Brokered by Re/Max North Country;For Sale;27.80 Ac Parks Farm RdCrystal Falls,MI 49920;27.8acre lot27.8 acre lot;;;,,,,,
